_class,_id,collectedDate,date,deviceToken,raw
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce80e4b0775fde043322,2023-10-17T00:00:00.616Z,2023-10-17T00:00:00.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000000.000,3557.515627,N,12658.620233,E,4,48,0.47,22.1,M,20.6,M,1.0,*6A
$GNRMC,000000.000,A,3557.515627,N,12658.620233,E,0.002,268.59,171023,,,R,V*25
$GNVTG,268.59,T,,M,0.002,N,0.004,K,D*20
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.86,0.47,0.71,1*02
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.86,0.47,0.71,2*05
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.86,0.47,0.71,3*01
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,24,25,0.86,0.47,0.71,4*03
$GNGSA,A,3,03,04,07,,,,,,,,,,0.86,0.47,0.71,5*0E
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce81e4b0775fde0433ff,2023-10-17T00:00:01.565Z,2023-10-17T00:00:01.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000001.000,3557.515627,N,12658.620234,E,4,48,0.50,22.1,M,20.6,M,1.0,*6A
$GNRMC,000001.000,A,3557.515627,N,12658.620234,E,0.003,268.59,171023,,,R,V*22
$GNVTG,268.59,T,,M,0.003,N,0.006,K,D*23
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.94,0.50,0.80,1*09
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.94,0.50,0.80,2*0E
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.94,0.50,0.80,3*0A
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,24,25,0.94,0.50,0.80,4*08
$GNGSA,A,3,03,04,07,,,,,,,,,,0.94,0.50,0.80,5*05
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce82e4b0775fde043523,2023-10-17T00:00:02.605Z,2023-10-17T00:00:02.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000002.000,3557.515628,N,12658.620234,E,4,47,0.46,22.1,M,20.6,M,1.0,*6E
$GNRMC,000002.000,A,3557.515628,N,12658.620234,E,0.001,268.59,171023,,,R,V*2C
$GNVTG,268.59,T,,M,0.001,N,0.002,K,D*25
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.84,0.46,0.71,1*01
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.84,0.46,0.71,2*06
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.84,0.46,0.71,3*02
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,24,25,27,0.84,0.46,0.71,4*02
$GNGSA,A,3,03,04,07,,,,,,,,,,0.84,0.46,0.71,5*0D
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce83e4b0775fde04361d,2023-10-17T00:00:03.606Z,2023-10-17T00:00:03.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000003.000,3557.515627,N,12658.620234,E,4,47,0.47,22.1,M,20.6,M,1.0,*61
$GNRMC,000003.000,A,3557.515627,N,12658.620234,E,0.002,268.59,171023,,,R,V*21
$GNVTG,268.59,T,,M,0.002,N,0.003,K,D*27
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.87,0.47,0.73,1*01
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.87,0.47,0.73,2*06
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.87,0.47,0.73,3*02
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,25,27,0.87,0.47,0.73,4*03
$GNGSA,A,3,03,04,07,,,,,,,,,,0.87,0.47,0.73,5*0D
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce84e4b0775fde043749,2023-10-17T00:00:04.616Z,2023-10-17T00:00:04.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000004.000,3557.515628,N,12658.620233,E,4,47,0.47,22.1,M,20.6,M,1.0,*6E
$GNRMC,000004.000,A,3557.515628,N,12658.620233,E,0.001,268.59,171023,,,R,V*2D
$GNVTG,268.59,T,,M,0.001,N,0.001,K,D*26
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.86,0.47,0.72,1*01
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.86,0.47,0.72,2*06
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.86,0.47,0.72,3*02
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,25,27,0.86,0.47,0.72,4*03
$GNGSA,A,3,03,04,07,,,,,,,,,,0.86,0.47,0.72,5*0D
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce85e4b0775fde04382d,2023-10-17T00:00:05.585Z,2023-10-17T00:00:05.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000005.000,3557.515627,N,12658.620233,E,4,47,0.46,22.1,M,20.6,M,1.0,*61
$GNRMC,000005.000,A,3557.515627,N,12658.620233,E,0.002,268.59,171023,,,R,V*20
$GNVTG,268.59,T,,M,0.002,N,0.004,K,D*20
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.84,0.46,0.70,1*00
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.84,0.46,0.70,2*07
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.84,0.46,0.70,3*03
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,25,27,0.84,0.46,0.70,4*02
$GNGSA,A,3,03,04,07,,,,,,,,,,0.84,0.46,0.70,5*0C
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce86e4b0775fde04394d,2023-10-17T00:00:06.615Z,2023-10-17T00:00:06.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000006.000,3557.515628,N,12658.620233,E,4,47,0.48,22.1,M,20.6,M,1.0,*63
$GNRMC,000006.000,A,3557.515628,N,12658.620233,E,0.002,268.59,171023,,,R,V*2C
$GNVTG,268.59,T,,M,0.002,N,0.003,K,D*27
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.90,0.48,0.76,1*0D
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.90,0.48,0.76,2*0A
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.90,0.48,0.76,3*0E
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,25,27,0.90,0.48,0.76,4*0F
$GNGSA,A,3,03,04,07,,,,,,,,,,0.90,0.48,0.76,5*01
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce87e4b0775fde043a31,2023-10-17T00:00:07.575Z,2023-10-17T00:00:07.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000007.000,3557.515627,N,12658.620233,E,4,47,0.47,22.1,M,20.6,M,1.0,*62
$GNRMC,000007.000,A,3557.515627,N,12658.620233,E,0.002,268.59,171023,,,R,V*22
$GNVTG,268.59,T,,M,0.002,N,0.004,K,D*20
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.85,0.47,0.71,1*01
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.85,0.47,0.71,2*06
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.85,0.47,0.71,3*02
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,25,27,0.85,0.47,0.71,4*03
$GNGSA,A,3,03,04,07,,,,,,,,,,0.85,0.47,0.71,5*0D
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce88e4b0775fde043b5f,2023-10-17T00:00:08.616Z,2023-10-17T00:00:08.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000008.000,3557.515628,N,12658.620233,E,4,48,0.48,22.1,M,20.6,M,1.0,*62
$GNRMC,000008.000,A,3557.515628,N,12658.620233,E,0.000,268.59,171023,,,R,V*20
$GNVTG,268.59,T,,M,0.000,N,0.001,K,D*27
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.88,0.48,0.74,1*06
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.88,0.48,0.74,2*01
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.88,0.48,0.74,3*05
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,24,25,0.88,0.48,0.74,4*07
$GNGSA,A,3,03,04,07,,,,,,,,,,0.88,0.48,0.74,5*0A
"
agip2.gcm.collector.plugin.core.contents.persist.mongo.nmea.Nmea,652dce89e4b0775fde043c4f,2023-10-17T00:00:09.576Z,2023-10-17T00:00:09.000Z,f95e0f0fd0ec45969b40da2a681114e1,"$GNGGA,000009.000,3557.515627,N,12658.620233,E,4,48,0.48,22.1,M,20.6,M,1.0,*6C
$GNRMC,000009.000,A,3557.515627,N,12658.620233,E,0.002,268.59,171023,,,R,V*2C
$GNVTG,268.59,T,,M,0.002,N,0.004,K,D*20
$GNGSA,A,3,05,06,07,11,13,15,20,29,30,,,,0.88,0.48,0.74,1*06
$GNGSA,A,3,68,69,70,83,84,85,,,,,,,0.88,0.48,0.74,2*01
$GNGSA,A,3,03,07,08,13,15,26,34,,,,,,0.88,0.48,0.74,3*05
$GNGSA,A,3,02,03,04,05,06,07,08,10,13,16,24,25,0.88,0.48,0.74,4*07
$GNGSA,A,3,03,04,07,,,,,,,,,,0.88,0.48,0.74,5*0A
"
